"population","pop2024","pop2023","pop2022","pop2020","pop2010","growth","region","city","usps","state","countyFips","county","densityMi","slug","areaMi","lng","lat","type","rank"
107976,107976,107321,107113,105356,95350,0.0061,"Southeast","Jurupa Valley","CA","California","6065","Riverside County",2515,"california/jurupa-valley",42.94,-117.468,34.0026,"City",63
107211,107211,108354,109548,111781,110137,-0.01055,"Southeast","Costa Mesa","CA","California","6059","Orange County",6783,"california/costa-mesa",15.806,-117.912,33.6659,"City",64
107100,107100,108816,109932,113964,111766,-0.01577,"Southeast","Downey","CA","California","6037","Los Angeles County",8631,"california/downey",12.409,-118.131,33.9382,"City",65
104438,104438,105617,105703,109153,106097,-0.01116,"Southeast","West Covina","CA","California","6037","Los Angeles County",6513,"california/west-covina",16.036,-117.91,34.0559,"City",66
103162,103162,103391,103853,104077,99567,-0.00221,"Southeast","Rialto","CA","California","6071","San Bernardino County",4282,"california/rialto",24.092,-117.389,34.1174,"City",67
102670,102670,102526,101956,102092,92530,0.0014,"Northwest","Vacaville","CA","California","6095","Solano County",3437,"california/vacaville",29.87,-121.969,38.3586,"City",68
102029,102029,103794,105052,109087,113562,-0.017,"Southeast","El Monte","CA","California","6037","Los Angeles County",10676,"california/el-monte",9.557,-118.029,34.0746,"City",69
101963,101963,102991,104042,106075,99815,-0.00998,"Southeast","El Cajon","CA","California","6073","San Diego County",7027,"california/el-cajon",14.51,-116.96,32.8017,"City",70
101355,101355,102865,103847,107393,109610,-0.01468,"Southeast","Inglewood","CA","California","6037","Los Angeles County",11178,"california/inglewood",9.067,-118.344,33.9561,"City",71
101338,101338,102755,103507,107005,103573,-0.01379,"Southeast","Burbank","CA","California","6037","Los Angeles County",5852,"california/burbank-los-angeles-county",17.316,-118.326,34.1901,"City",72
100849,100849,100633,100489,99984,90262,0.00215,"Southeast","Hesperia","CA","California","6071","San Bernardino County",1388,"california/hesperia",72.681,-117.315,34.397,"City",73
100816,100816,101301,101758,102755,89049,-0.00479,"Northwest","Chico","CA","California","6007","Butte County",2920,"california/chico",34.521,-121.818,39.7589,"City",74
99884,99884,101327,101567,105656,97256,-0.01424,"West","San Mateo","CA","California","6081","San Mateo County",8232,"california/san-mateo",12.134,-122.311,37.5603,"City",75
99473,99473,98010,96783,93620,83605,0.01493,"Northwest","Tracy","CA","California","6077","San Joaquin County",3777,"california/tracy",26.337,-121.452,37.7274,"City",76
98289,98289,98344,98881,98508,93353,-0.00056,"Southeast","Vista","CA","California","6073","San Diego County",5243,"california/vista",18.746,-117.239,33.1897,"City",77
98158,98158,99833,100329,104858,101456,-0.01678,"West","Daly City","CA","California","6081","San Mateo County",12851,"california/daly-city",7.638,-122.469,37.6862,"City",78
96724,96724,96400,96076,93719,92186,0.00336,"Northwest","Arden-Arcade","CA","California","6067","Sacramento County",6085,"california/arden-arcade",15.895,-121.385,38.6006,"CDP",79
96635,96635,98078,99079,102405,105532,-0.01471,"Southeast","Norwalk","CA","California","6037","Los Angeles County",9955,"california/norwalk",9.707,-118.083,33.9076,"City",80
95958,95958,93692,92088,86893,79097,0.02419,"West","Merced","CA","California","6047","Merced County",4127,"california/merced",23.254,-120.478,37.3057,"City",81
94302,94302,93057,91672,89320,79679,0.01338,"Southeast","Indio","CA","California","6065","Riverside County",2842,"california/indio",33.183,-116.236,33.7316,"City",82
93967,93967,94188,93895,94849,83948,-0.00235,"Southeast","San Marcos","CA","California","6073","San Diego County",3824,"california/san-marcos",24.571,-117.17,33.1326,"City",83
93806,93806,93114,93055,91038,78604,0.00743,"Southeast","Chino","CA","California","6071","San Bernardino County",3172,"california/chino",29.574,-117.658,33.978,"City",84
93409,93409,91059,88669,84009,67749,0.02581,"Northwest","Manteca","CA","California","6077","San Joaquin County",4361,"california/manteca",21.42,-121.226,37.7928,"City",85
93197,93197,92368,91288,89881,79105,0.00897,"Southeast","Hemet","CA","California","6065","Riverside County",3185,"california/hemet",29.262,-116.997,33.7341,"City",86
92466,92466,92727,92959,93510,89916,-0.00281,"Northwest","Redding","CA","California","6089","Shasta County",1555,"california/redding",59.469,-122.367,40.5703,"City",87
89722,89722,91139,92113,95388,91562,-0.01555,"Southeast","Carson","CA","California","6037","Los Angeles County",4790,"california/carson",18.731,-118.25,33.8404,"City",88
89679,89679,90624,91515,93457,93144,-0.01043,"Southeast","Mission Viejo","CA","California","6059","Orange County",5078,"california/mission-viejo",17.66,-117.656,33.6093,"City",89
89516,89516,90986,91829,95394,96428,-0.01616,"Southeast","Compton","CA","California","6037","Los Angeles County",8927,"california/compton",10.027,-118.227,33.894,"City",90
89206,89206,90070,91055,92660,94384,-0.00959,"Southeast","South Gate","CA","California","6037","Los Angeles County",12326,"california/south-gate",7.237,-118.193,33.9442,"City",91
88925,88925,89922,90216,92913,89788,-0.01109,"Southeast","Santa Monica","CA","California","6037","Los Angeles County",10575,"california/santa-monica",8.409,-118.498,34.0109,"City",92
88015,88015,88729,89497,90871,89575,-0.00805,"Southeast","Westminster","CA","California","6059","Orange County",8767,"california/westminster",10.039,-117.994,33.7523,"City",93
86108,86108,84782,83241,80804,72133,0.01564,"Northwest","Folsom","CA","California","6067","Sacramento County",3088,"california/folsom",27.881,-121.142,38.6666,"City",94
85811,85811,85840,85923,85927,77506,-0.00034,"Southeast","Lake Forest","CA","California","6059","Orange County",5134,"california/lake-forest",16.714,-117.676,33.6549,"City",95
85804,85804,86239,86527,87544,83188,-0.00504,"Northwest","Citrus Heights","CA","California","6067","Sacramento County",6036,"california/citrus-heights",14.216,-121.288,38.6948,"City",96
85744,85744,86499,87316,88762,88544,-0.00873,"South","Santa Barbara","CA","California","6083","Santa Barbara County",4400,"california/santa-barbara",19.489,-119.714,34.4036,"City",97
84446,84446,84929,85490,86377,71784,-0.00569,"Northwest","San Ramon","CA","California","6013","Contra Costa County",4210,"california/san-ramon",20.059,-121.932,37.7653,"City",98
84137,84137,85784,86521,90724,85108,-0.0192,"West","San Leandro","CA","California","6001","Alameda County",6315,"california/san-leandro",13.323,-122.163,37.7034,"City",99
83597,83597,82605,81618,79628,65019,0.01201,"Northwest","Rancho Cordova","CA","California","6067","Sacramento County",2418,"california/rancho-cordova",34.569,-121.236,38.5771,"City",100
83163,83163,84143,84940,87081,85309,-0.01165,"Southeast","Whittier","CA","California","6037","Los Angeles County",5677,"california/whittier",14.649,-118.02,33.9668,"City",101
81890,81890,83364,84433,87784,84268,-0.01768,"Southeast","Hawthorne","CA","California","6037","Los Angeles County",13453,"california/hawthorne",6.087,-118.348,33.9148,"City",102
81794,81794,82637,83446,85164,85262,-0.0102,"Southeast","Newport Beach","CA","California","6059","Orange County",3437,"california/newport-beach",23.797,-117.89,33.5973,"City",103
81458,81458,81785,81853,82766,73759,-0.004,"West","Mountain View","CA","California","6085","Santa Clara County",6812,"california/mountain-view",11.958,-122.079,37.3997,"City",104
81324,81324,81958,82366,83859,80554,-0.00774,"Southeast","Buena Park","CA","California","6059","Orange County",7725,"california/buena-park",10.527,-118.007,33.8574,"City",105
81252,81252,82908,84111,87875,81691,-0.01997,"West","Livermore","CA","California","6001","Alameda County",3058,"california/livermore",26.57,-121.76,37.687,"City",106
81193,81193,80603,79836,78831,69103,0.00732,"Southeast","Perris","CA","California","6065","Riverside County",2572,"california/perris",31.563,-117.222,33.7898,"City",107
80874,80874,79509,78144,75642,61762,0.01717,"Northwest","Carmichael","CA","California","6067","Sacramento County",5274,"california/carmichael",15.334,-121.326,38.6308,"CDP",108
80032,80032,80996,81237,83887,77042,-0.0119,"West","Redwood City","CA","California","6081","San Mateo County",4139,"california/redwood-city",19.336,-122.214,37.5153,"City",109
78817,78817,79776,80323,82652,83107,-0.01202,"Southeast","Alhambra","CA","California","6037","Los Angeles County",10329,"california/alhambra",7.631,-118.136,34.0836,"City",110
78583,78583,78699,79120,79046,73865,-0.00147,"Southeast","Upland","CA","California","6071","San Bernardino County",5043,"california/upland",15.584,-117.66,34.1161,"City",111
76971,76971,77704,78393,79902,75365,-0.00943,"Southeast","Tustin","CA","California","6059","Orange County",6920,"california/tustin",11.123,-117.811,33.7309,"City",112
76878,76878,77492,78092,79334,77187,-0.00792,"Northwest","Napa","CA","California","6055","Napa County",4260,"california/napa",18.048,-122.301,38.2979,"City",113
76797,76797,77212,77784,78456,74958,-0.00537,"Southeast","Chino Hills","CA","California","6071","San Bernardino County",1720,"california/chino-hills",44.65,-117.726,33.943,"City",114
76772,76772,78135,79108,82224,80070,-0.01744,"Southeast","Lakewood","CA","California","6037","Los Angeles County",8172,"california/lakewood",9.394,-118.122,33.8471,"City",115
76497,76497,77321,76882,79792,66694,-0.01066,"West","Milpitas","CA","California","6085","Santa Clara County",5674,"california/milpitas",13.481,-121.891,37.4331,"City",116
75619,75619,75803,75528,76354,63475,-0.00243,"Northwest","Pittsburg","CA","California","6013","Contra Costa County",4278,"california/pittsburg",17.676,-121.897,38.0168,"City",117
74762,74762,75036,75345,75858,69310,-0.00365,"Southeast","Apple Valley","CA","California","6071","San Bernardino County",971,"california/apple-valley",77.006,-117.21,34.5334,"Town",118
74434,74434,75353,75637,78109,73901,-0.0122,"Northwest","Alameda","CA","California","6001","Alameda County",7158,"california/alameda",10.399,-122.26,37.7419,"City",119
74038,74038,73472,73155,71772,57482,0.0077,"Northwest","Rocklin","CA","California","6061","Placer County",3737,"california/rocklin",19.81,-121.25,38.8069,"City",120
73849,73849,73028,72783,70563,53590,0.01124,"Southeast","Lake Elsinore","CA","California","6065","Riverside County",1930,"california/lake-elsinore",38.269,-117.335,33.686,"City",121
73841,73841,75122,76047,78965,76616,-0.01705,"Southeast","Bellflower","CA","California","6037","Los Angeles County",12071,"california/bellflower",6.117,-118.127,33.8878,"City",122
72982,72982,74653,75830,79665,70363,-0.02238,"West","Pleasanton","CA","California","6001","Alameda County",3023,"california/pleasanton",24.141,-121.881,37.6672,"City",123
72329,72329,72556,72886,73235,68841,-0.00313,"Southeast","Redlands","CA","California","6071","San Bernardino County",2009,"california/redlands",36.011,-117.17,34.0535,"City",124
71884,71884,72100,72192,72747,68733,-0.003,"West","Turlock","CA","California","6099","Stanislaus County",4280,"california/turlock",16.797,-120.859,37.5055,"City",125
71678,71678,71092,70718,69333,59431,0.00824,"South","Tulare","CA","California","6107","Tulare County",3466,"california/tulare",20.678,-119.342,36.1994,"City",126
70666,70666,70510,70724,70041,53668,0.00221,"Southeast","Eastvale","CA","California","6065","Riverside County",5573,"california/eastvale",12.679,-117.582,33.9633,"City",127
69110,69110,69514,69901,70725,65484,-0.00581,"South","Camarillo","CA","California","6111","Ventura County",3511,"california/camarillo",19.686,-119.032,34.2218,"City",128
68804,68804,69152,69369,70196,64376,-0.00503,"Northwest","Walnut Creek","CA","California","6013","Contra Costa County",3482,"california/walnut-creek",19.76,-122.04,37.9027,"City",129
68598,68598,68079,67594,66522,61998,0.00762,"West","Madera","CA","California","6039","Madera County",3481,"california/madera",19.707,-120.086,36.9658,"City",130
