iter	Passed	Remaining
817	4828	1074
818	4833	1068
819	4841	1062
820	4847	1056
821	4854	1051
822	4862	1045
823	4868	1039
824	4876	1034
825	4883	1028
826	4889	1022
827	4895	1016
828	4900	1010
829	4907	1005
830	4912	999
831	4918	993
832	4925	987
833	4930	981
834	4935	975
835	4940	969
836	4945	963
837	4952	957
838	4958	951
839	4964	945
840	4969	939
841	4975	933
842	4980	927
843	4985	921
844	4991	915
845	4996	909
846	5002	903
847	5010	898
848	5016	892
849	5021	886
850	5027	880
851	5032	874
852	5037	868
853	5042	862
854	5048	856
855	5054	850
856	5064	845
857	5073	839
858	5082	834
859	5087	828
860	5093	822
861	5098	816
862	5103	810
863	5110	804
864	5115	798
865	5120	792
866	5125	786
867	5131	780
868	5136	774
869	5141	768
870	5146	762
871	5153	756
872	5158	750
873	5163	744
874	5169	738
875	5175	732
876	5183	727
877	5189	721
878	5193	714
879	5198	708
880	5203	702
881	5208	696
882	5212	690
883	5219	684
884	5226	679
885	5232	673
886	5237	667
887	5243	661
888	5250	655
889	5254	649
890	5261	643
891	5268	637
892	5274	631
893	5282	626
894	5290	620
895	5296	614
896	5301	608
897	5306	602
898	5311	596
899	5316	590
900	5321	584
901	5327	578
902	5334	573
903	5339	567
904	5344	561
905	5350	555
906	5356	549
907	5361	543
908	5368	537
909	5374	531
910	5379	525
911	5386	519
912	5391	513
913	5397	507
914	5402	501
915	5407	495
916	5411	489
917	5417	483
918	5422	477
919	5427	471
920	5434	466
921	5439	460
922	5444	454
923	5450	448
924	5457	442
925	5465	436
926	5472	430
927	5477	425
928	5484	419
929	5489	413
930	5494	407
931	5499	401
932	5505	395
933	5509	389
934	5514	383
935	5523	377
936	5528	371
937	5534	365
938	5539	359
939	5544	353
940	5549	347
941	5556	342
942	5562	336
943	5566	330
944	5572	324
945	5578	318
946	5582	312
947	5589	306
948	5594	300
949	5599	294
950	5606	288
951	5611	282
952	5616	277
953	5623	271
954	5629	265
955	5635	259
956	5641	253
957	5648	247
958	5655	241
959	5660	235
960	5666	229
961	5673	224
962	5679	218
963	5686	212
964	5691	206
965	5696	200
966	5702	194
967	5709	188
968	5714	182
969	5718	176
970	5726	171
971	5735	165
972	5741	159
973	5745	153
974	5750	147
975	5758	141
976	5763	135
977	5769	129
978	5775	123
979	5781	117
980	5787	112
981	5793	106
982	5799	100
983	5804	94
984	5810	88
985	5816	82
986	5821	76
987	5827	70
988	5833	64
989	5838	58
990	5847	53
991	5856	47
992	5865	41
993	5870	35
994	5877	29
995	5883	23
996	5888	17
997	5896	11
998	5902	5
999	5908	0
